,City,Lat,Lon,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,molnlycke,57.66,12.12,54,93,90,14.99,SE,1603595034
1,souillac,-20.52,57.52,69.8,88,75,12.75,MU,1603595041
2,busselton,-33.65,115.33,75.99,44,74,7,AU,1603595041
3,carnarvon,-24.87,113.63,75.2,78,90,18.34,AU,1603595041
4,torbay,47.67,-52.73,51.01,100,90,17.22,CA,1603595041
5,takoradi,4.88,-1.76,76.96,89,33,8.5,GH,1603595042
6,rikitea,-23.12,-134.97,74.88,82,97,20.71,PF,1603595042
7,dikson,73.51,80.55,21.87,92,38,6.58,RU,1603594810
8,georgetown,5.41,100.34,84.2,78,40,10.42,MY,1603594784
9,jamestown,42.1,-79.24,41,86,90,5.35,US,1603595042
10,karratha,-20.74,116.85,83.35,40,0,14.5,AU,1603595042
11,sao paulo de olivenca,-3.38,-68.87,76.75,74,9,1.61,BR,1603595042
12,coihaique,-45.58,-72.07,44.6,75,75,9.17,CL,1603595043
13,shenzhen,22.55,114.07,81,57,73,3,CN,1603595043
14,codrington,-38.27,141.97,52.61,65,79,23.35,AU,1603595043
15,new norfolk,-42.78,147.06,59,46,73,1.01,AU,1603595043
16,hilo,19.73,-155.09,82.4,69,75,12.75,US,1603595043
17,vaini,-21.2,-175.2,73.4,88,75,12.75,TO,1603595043
18,alto araguaia,-17.31,-53.22,70.97,88,65,5.48,BR,1603595044
19,nikolskoye,59.7,30.79,39.2,86,90,4.47,RU,1603595044
20,saint-joseph,-21.37,55.62,68,52,0,5.82,RE,1603595044
21,bluff,-46.6,168.33,59,87,95,15.99,NZ,1603594976
22,coquimbo,-29.95,-71.34,53.6,87,6,5.82,CL,1603594757
23,bredasdorp,-34.53,20.04,60.01,84,28,5.32,ZA,1603595044
24,lavrentiya,65.58,-171,34.18,88,7,9.6,RU,1603595044
25,ushuaia,-54.8,-68.3,44.6,65,75,17.22,AR,1603595044
26,arak,34.09,49.69,40.46,69,0,2.53,IR,1603595045
27,port hueneme,34.15,-119.2,64.4,72,90,8.05,US,1603594786
28,butaritari,3.07,172.79,81.14,68,89,6.58,KI,1603595045
29,mataura,-46.19,168.86,59,87,93,15.99,NZ,1603595045
